fpr,tpr
0.0,0.0
0.0,0.00267379679144385
0.0,0.0427807486631016
0.000966183574879227,0.0427807486631016
0.000966183574879227,0.0481283422459893
0.001932367149758454,0.0481283422459893
0.001932367149758454,0.053475935828877004
0.002898550724637681,0.053475935828877004
0.002898550724637681,0.06149732620320856
0.003864734299516908,0.06951871657754011
0.003864734299516908,0.0855614973262032
0.004830917874396135,0.0855614973262032
0.004830917874396135,0.08823529411764706
0.004830917874396135,0.09358288770053476
0.004830917874396135,0.0962566844919786
0.005797101449275362,0.0962566844919786
0.005797101449275362,0.09893048128342247
0.00676328502415459,0.09893048128342247
0.00676328502415459,0.10695187165775401
0.00966183574879227,0.10695187165775401
0.00966183574879227,0.12032085561497326
0.011594202898550725,0.12032085561497326
0.011594202898550725,0.12299465240641712
0.012560386473429951,0.12299465240641712
0.012560386473429951,0.12834224598930483
0.01352657004830918,0.12834224598930483
0.01352657004830918,0.14171122994652408
0.014492753623188406,0.14171122994652408
0.014492753623188406,0.16844919786096257
0.015458937198067632,0.16844919786096257
0.015458937198067632,0.17379679144385027
0.01642512077294686,0.17379679144385027
0.01642512077294686,0.17647058823529413
0.01642512077294686,0.18181818181818182
0.01642512077294686,0.18716577540106952
0.018357487922705314,0.18716577540106952
0.018357487922705314,0.20320855614973263
0.018357487922705314,0.20855614973262032
0.018357487922705314,0.2192513368983957
0.018357487922705314,0.22459893048128343
0.018357487922705314,0.23796791443850268
0.020289855072463767,0.23796791443850268
0.020289855072463767,0.24064171122994651
0.022222222222222223,0.24064171122994651
0.022222222222222223,0.24866310160427807
0.02318840579710145,0.24866310160427807
0.02318840579710145,0.25668449197860965
0.024154589371980676,0.25668449197860965
0.024154589371980676,0.25935828877005346
0.025120772946859903,0.25935828877005346
0.025120772946859903,0.27540106951871657
0.02705314009661836,0.27540106951871657
0.02705314009661836,0.2807486631016043
0.02705314009661836,0.28342245989304815
0.028019323671497585,0.28342245989304815
0.028019323671497585,0.2887700534759358
0.028985507246376812,0.2887700534759358
0.028985507246376812,0.2914438502673797
0.030917874396135265,0.2967914438502674
0.03188405797101449,0.2967914438502674
0.03188405797101449,0.30213903743315507
0.03285024154589372,0.30213903743315507
0.03285024154589372,0.3048128342245989
0.035748792270531404,0.3048128342245989
0.035748792270531404,0.31016042780748665
0.035748792270531404,0.3155080213903743
0.035748792270531404,0.3181818181818182
0.03671497584541063,0.3181818181818182
0.03671497584541063,0.32085561497326204
0.03768115942028986,0.3235294117647059
0.03768115942028986,0.32887700534759357
0.03961352657004831,0.32887700534759357
0.04057971014492753,0.3315508021390374
0.04251207729468599,0.3315508021390374
0.04251207729468599,0.339572192513369
0.044444444444444446,0.339572192513369
0.044444444444444446,0.3422459893048128
0.04541062801932367,0.3422459893048128
0.04541062801932367,0.34759358288770054
0.0463768115942029,0.34759358288770054
0.0463768115942029,0.35294117647058826
0.04830917874396135,0.35294117647058826
0.04830917874396135,0.3582887700534759
0.04927536231884058,0.3582887700534759
0.04927536231884058,0.3689839572192513
0.050241545893719805,0.3689839572192513
0.050241545893719805,0.37967914438502676
0.05314009661835749,0.37967914438502676
0.05314009661835749,0.3877005347593583
0.05410628019323672,0.3877005347593583
0.05603864734299517,0.39037433155080214
0.05603864734299517,0.393048128342246
0.057971014492753624,0.393048128342246
0.057971014492753624,0.3983957219251337
0.05990338164251208,0.3983957219251337
0.05990338164251208,0.40106951871657753
0.06086956521739131,0.40106951871657753
0.06086956521739131,0.4090909090909091
0.06086956521739131,0.4144385026737968
0.06280193236714976,0.4144385026737968
0.06280193236714976,0.41711229946524064
0.0647342995169082,0.41711229946524064
0.0647342995169082,0.4197860962566845
0.06570048309178744,0.4197860962566845
0.06570048309178744,0.42780748663101603
0.06763285024154589,0.42780748663101603
0.06763285024154589,0.43315508021390375
0.06859903381642513,0.43315508021390375
0.06859903381642513,0.4385026737967914
0.06956521739130435,0.4385026737967914
0.06956521739130435,0.4411764705882353
0.07246376811594203,0.4411764705882353
0.07246376811594203,0.446524064171123
0.07342995169082125,0.45454545454545453
0.07439613526570048,0.45454545454545453
0.07439613526570048,0.4572192513368984
0.0782608695652174,0.4572192513368984
0.0782608695652174,0.46524064171123
0.08019323671497584,0.46524064171123
0.08019323671497584,0.4732620320855615
0.08115942028985507,0.4732620320855615
0.08115942028985507,0.4786096256684492
0.08309178743961353,0.4786096256684492
0.08309178743961353,0.48128342245989303
0.08599033816425121,0.48128342245989303
0.08599033816425121,0.4839572192513369
0.08695652173913043,0.4839572192513369
0.08695652173913043,0.48663101604278075
0.08792270531400966,0.48663101604278075
0.08792270531400966,0.5
0.08888888888888889,0.5
0.08888888888888889,0.5026737967914439
0.09082125603864734,0.5026737967914439
0.09082125603864734,0.5053475935828877
0.09468599033816426,0.5053475935828877
0.09468599033816426,0.5106951871657754
0.09565217391304348,0.5106951871657754
0.0966183574879227,0.516042780748663
0.0966183574879227,0.5213903743315508
0.09951690821256039,0.5213903743315508
0.09951690821256039,0.5240641711229946
0.10144927536231885,0.5240641711229946
0.10144927536231885,0.5320855614973262
0.10241545893719807,0.5320855614973262
0.10338164251207729,0.5347593582887701
0.10434782608695652,0.5347593582887701
0.10434782608695652,0.5374331550802139
0.11014492753623188,0.5374331550802139
0.11014492753623188,0.5401069518716578
0.11400966183574879,0.5401069518716578
0.11400966183574879,0.5427807486631016
0.11594202898550725,0.5427807486631016
0.11594202898550725,0.5454545454545454
0.11594202898550725,0.5508021390374331
0.11690821256038647,0.553475935828877
0.12560386473429952,0.553475935828877
0.12560386473429952,0.5561497326203209
0.12657004830917876,0.5561497326203209
0.12657004830917876,0.5668449197860963
0.1285024154589372,0.5668449197860963
0.1285024154589372,0.56951871657754
0.1294685990338164,0.56951871657754
0.1294685990338164,0.5721925133689839
0.13043478260869565,0.5721925133689839
0.13043478260869565,0.5748663101604278
0.13429951690821257,0.5748663101604278
0.13429951690821257,0.5855614973262032
0.13719806763285025,0.5855614973262032
0.13719806763285025,0.5882352941176471
0.13816425120772946,0.5882352941176471
0.13816425120772946,0.5909090909090909
0.14009661835748793,0.5909090909090909
0.14009661835748793,0.5935828877005348
0.14202898550724638,0.5935828877005348
0.14202898550724638,0.6016042780748663
0.14299516908212562,0.6016042780748663
0.14299516908212562,0.6042780748663101
0.14396135265700483,0.6042780748663101
0.14396135265700483,0.606951871657754
0.14589371980676327,0.606951871657754
0.14589371980676327,0.6122994652406417
0.15169082125603864,0.6122994652406417
0.15169082125603864,0.6149732620320856
0.1536231884057971,0.6149732620320856
0.1536231884057971,0.6176470588235294
0.15458937198067632,0.6176470588235294
0.15458937198067632,0.6229946524064172
0.1565217391304348,0.6229946524064172
0.1565217391304348,0.6417112299465241
